,id,credits,cast_count,director
0,tm100001,"[{'person_id': 25629, 'name': 'John Wayne', 'character': 'Jerry Mason', 'role': 'ACTOR'}, {'person_id': 578138, 'name': 'Barbara Sheldon', 'character': 'Betty Benson', 'role': 'ACTOR'}, {'person_id': 27356, 'name': 'Lloyd Whitlock', 'character': 'Harris', 'role': 'ACTOR'}, {'person_id': 100231, 'name': ""George 'Gabby' Hayes"", 'character': ""Jake 'Grandy' Benson"", 'role': 'ACTOR'}, {'person_id': 13327, 'name': 'Yakima Canutt', 'character': 'Joe Cole', 'role': 'ACTOR'}, {'person_id': 133934, 'name': 'Eddie Parker', 'character': ""Al Miller (sheriff's son)"", 'role': 'ACTOR'}, {'person_id': 152098, 'name': 'Gordon De Main', 'character': 'Banker Williams', 'role': 'ACTOR'}, {'person_id': 28513, 'name': 'Earl Dwire', 'character': 'Sheriff Miller', 'role': 'ACTOR'}, {'person_id': 132034, 'name': 'Jack Rockwell', 'character': 'Townsman', 'role': 'ACTOR'}, {'person_id': 71572, 'name': 'Artie Ortego', 'character': 'Deputy', 'role': 'ACTOR'}, {'person_id': 134247, 'name': 'Tex Palmer', 'character': 'Townsman', 'role': 'ACTOR'}, {'person_id': 130993, 'name': 'Tex Phelps', 'character': 'Prospector', 'role': 'ACTOR'}, {'person_id': 134045, 'name': 'George Morrell', 'character': 'Townsman', 'role': 'ACTOR'}, {'person_id': 138421, 'name': 'Robert N. Bradbury', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",13.0,Robert N. Bradbury
1,tm1000022,"[{'person_id': 1793831, 'name': 'Chris Boike', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1793745, 'name': 'Nikki Stinson', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 159207, 'name': 'Tan Xiao', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2289442, 'name': '张伟', 'character': '熊大 (配音)', 'role': 'ACTOR'}, {'person_id': 159208, 'name': 'Leon Ding', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",4.0,Leon Ding
2,tm1000169,"[{'person_id': 2853, 'name': 'John Rhys-Davies', 'character': 'Archie', 'role': 'ACTOR'}, {'person_id': 304835, 'name': 'Shane Nepveu', 'character': 'Dave', 'role': 'ACTOR'}, {'person_id': 51478, 'name': 'Briana Marin', 'character': 'Morris', 'role': 'ACTOR'}, {'person_id': 1795358, 'name': 'Claybourne Elder', 'character': 'Henry', 'role': 'ACTOR'}, {'person_id': 1795272, 'name': 'Amelia Sorensen', 'character': 'Stella', 'role': 'ACTOR'}, {'person_id': 1795835, 'name': 'Christine Turturro', 'character': 'Denise', 'role': 'ACTOR'}, {'person_id': 1795285, 'name': 'Darleen Pickering Hummert', 'character': 'Mrs. Fishbaum', 'role': 'ACTOR'}, {'person_id': 1795728, 'name': 'Diane Cossa', 'character': 'Not Applicable', 'role': 'DIRECTOR'}, {'person_id': 1795508, 'name': 'Neal Howard', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",7.0,"Diane Cossa, Neal Howard"
3,tm1000203,"[{'person_id': 67535, 'name': 'Ford Austin', 'character': 'David Vanowen', 'role': 'ACTOR'}, {'person_id': 14513, 'name': 'Tom Fitzpatrick', 'character': 'The Corpse', 'role': 'ACTOR'}, {'person_id': 177968, 'name': 'Rachel Alig', 'character': 'Jessica Vanowen', 'role': 'ACTOR'}, {'person_id': 3072, 'name': 'Richard Riehle', 'character': 'Allen Palms', 'role': 'ACTOR'}, {'person_id': 25459, 'name': 'Ken Hudson Campbell', 'character': 'Mark Armstrong', 'role': 'ACTOR'}, {'person_id': 242690, 'name': 'Clint Jung', 'character': 'Mr. Wu', 'role': 'ACTOR'}, {'person_id': 1323386, 'name': 'Sumeet Dang', 'character': 'Richard Peterson', 'role': 'ACTOR'}, {'person_id': 1615894, 'name': 'Bryan Dodds', 'character': 'Zack Kennedy', 'role': 'ACTOR'}, {'person_id': 1959260, 'name': 'Debbie DeLisi', 'character': 'Whitney Reception', 'role': 'ACTOR'}, {'person_id': 1875712, 'name': 'Stephan Singh', 'character': 'Bank Officer', 'role': 'ACTOR'}, {'person_id': 1875487, 'name': 'Michael P. Blevins', 'character': 'Hardware Store Clerk', 'role': 'ACTOR'}, {'person_id': 1875487, 'name': 'Michael P. Blevins', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",11.0,Michael P. Blevins
4,tm1000290,"[{'person_id': 13236, 'name': 'Cerina Vincent', 'character': 'Laura', 'role': 'ACTOR'}, {'person_id': 187191, 'name': 'Emily Skinner', 'character': 'Bailey', 'role': 'ACTOR'}, {'person_id': 37469, 'name': 'Brian Krause', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 192949, 'name': 'Alexis Jayde Burnett', 'character': 'Mia', 'role': 'ACTOR'}, {'person_id': 2105648, 'name': 'Keikilani Grune', 'character': 'Alani', 'role': 'ACTOR'}, {'person_id': 2106804, 'name': 'Chad Mann', 'character': 'Kaleo', 'role': 'ACTOR'}, {'person_id': 2106773, 'name': 'Taylor McCumber', 'character': 'Gretchen', 'role': 'ACTOR'}, {'person_id': 2106703, 'name': 'Zack Bookhart', 'character': 'Trent', 'role': 'ACTOR'}, {'person_id': 1095381, 'name': 'Donta Tanner', 'character': ""Bailey's Step Father"", 'role': 'ACTOR'}, {'person_id': 1278751, 'name': 'Mia Adams', 'character': ""Bailey's Mom"", 'role': 'ACTOR'}, {'person_id': 1508078, 'name': 'Terry Bookhart', 'character': 'Suzie', 'role': 'ACTOR'}, {'person_id': 1551176, 'name': 'Mark Medeiros', 'character': 'Kai', 'role': 'ACTOR'}, {'person_id': 1713903, 'name': 'Angelica Quinn', 'character': 'Jewelry Clerk', 'role': 'ACTOR'}, {'person_id': 1099083, 'name': 'Jabez Armodia', 'character': 'Bowling Alley Attendant', 'role': 'ACTOR'}, {'person_id': 1034096, 'name': 'Chloe Blue', 'character': 'Student / Classroom (uncredited)', 'role': 'ACTOR'}, {'person_id': 47968, 'name': 'Michael Feifer', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",15.0,Michael Feifer
5,tm1000378,"[{'person_id': 1145158, 'name': 'Naveen Polishetty', 'character': 'Jogipet Srikanth', 'role': 'ACTOR'}, {'person_id': 839183, 'name': 'Priyadarshi Pullikonda', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 752500, 'name': 'Rahul Ramakrishna', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1818728, 'name': 'Faria Abdullah', 'character': 'Chitti', 'role': 'ACTOR'}, {'person_id': 61712, 'name': 'Brahmanandam', 'character': 'Justice Balwanth Chowdhary', 'role': 'ACTOR'}, {'person_id': 64205, 'name': 'Murali Sharma', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 67251, 'name': 'Brahmaji', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 45445, 'name': 'Tanikella Bharani', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 130935, 'name': 'Vennela Kishore', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 192669, 'name': 'Keerthy Suresh', 'character': 'Cameo', 'role': 'ACTOR'}, {'person_id': 238628, 'name': 'Vijay Devarakonda', 'character': 'Cameo', 'role': 'ACTOR'}, {'person_id': 187530, 'name': 'Giri Babu', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 885853, 'name': 'Mahesh Achanta', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 157537, 'name': 'Naresh', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 157541, 'name': 'Subhalekha Sudhakar', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1641865, 'name': 'Divya Drishti', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 839395, 'name': 'Anudeep', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",16.0,Anudeep
6,tm1000406,"[{'person_id': 1745, 'name': 'Sam Hazeldine', 'character': 'Strachan', 'role': 'ACTOR'}, {'person_id': 177426, 'name': 'Julie Dray', 'character': 'Page', 'role': 'ACTOR'}, {'person_id': 1153814, 'name': 'Dany Verissimo-Petit', 'character': 'Veronique', 'role': 'ACTOR'}, {'person_id': 5999, 'name': 'Navid Negahban', 'character': 'Karim', 'role': 'ACTOR'}, {'person_id': 322726, 'name': ""T'Nia Miller"", 'character': 'Fleet', 'role': 'ACTOR'}, {'person_id': 110733, 'name': 'Dennis Storhøi', 'character': 'Tom', 'role': 'ACTOR'}, {'person_id': 58028, 'name': 'Richard Glover', 'character': 'Beaumont', 'role': 'ACTOR'}, {'person_id': 12905, 'name': 'Brian Bovell', 'character': 'Grant', 'role': 'ACTOR'}, {'person_id': 43046, 'name': 'Jussi Vatanen', 'character': 'Zaney', 'role': 'ACTOR'}, {'person_id': 1153813, 'name': 'Erin Mountford', 'character': 'Barmaid', 'role': 'ACTOR'}, {'person_id': 1153815, 'name': 'Christo', 'character': 'Amalie the dog', 'role': 'ACTOR'}, {'person_id': 47133, 'name': 'Richard Huw', 'character': 'Lane', 'role': 'ACTOR'}, {'person_id': 105411, 'name': 'Richard Parry', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",12.0,Richard Parry
7,tm1000619,"[{'person_id': 45431, 'name': 'Prabhas', 'character': 'Vikramaditya', 'role': 'ACTOR'}, {'person_id': 182880, 'name': 'Pooja Hegde', 'character': 'Prerana', 'role': 'ACTOR'}, {'person_id': 67055, 'name': 'Bhagyashree', 'character': 'Jhullam', 'role': 'ACTOR'}, {'person_id': 45437, 'name': 'Sathyaraj', 'character': 'Paramahamsa', 'role': 'ACTOR'}, {'person_id': 130931, 'name': 'Krishnam Raju', 'character': 'Paramahamsa', 'role': 'ACTOR'}, {'person_id': 119071, 'name': 'Jagapati Babu', 'character': 'Anand Rajput', 'role': 'ACTOR'}, {'person_id': 839183, 'name': 'Priyadarshi Pullikonda', 'character': 'Subbarao', 'role': 'ACTOR'}, {'person_id': 64205, 'name': 'Murali Sharma', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 67441, 'name': 'Kunaal Roy Kapur', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 61588, 'name': 'Sachin Khedekar', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 307058, 'name': 'Riddhi Kumar', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 65267, 'name': 'Sathyan Sivakumar', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 143268, 'name': 'Jayaram', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 146672, 'name': 'Thalaivasal Vijay', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1217520, 'name': 'Sasha Chettri', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1368922, 'name': 'Mahati Bikshu', 'character': 'Veena', 'role': 'ACTOR'}, {'person_id': 145418, 'name': 'Surya Bhagawan Das', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1518759, 'name': 'Radha Krishna Kumar', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",17.0,Radha Krishna Kumar
8,tm100065,"[{'person_id': 21170, 'name': 'Erich von Stroheim', 'character': 'Lt. Erich von Steuben', 'role': 'ACTOR'}, {'person_id': 50372, 'name': 'Gibson Gowland', 'character': 'Silent Sepp', 'role': 'ACTOR'}, {'person_id': 55728, 'name': 'Sam De Grasse', 'character': 'Dr. Armstrong', 'role': 'ACTOR'}, {'person_id': 173408, 'name': 'Francelia Billington', 'character': 'Margaret Armstrong', 'role': 'ACTOR'}, {'person_id': 100236, 'name': 'Fay Holderness', 'character': ""The 'Vamp' Waitress"", 'role': 'ACTOR'}, {'person_id': 585936, 'name': 'Ruby Kendrick', 'character': 'A Village Blossom', 'role': 'ACTOR'}, {'person_id': 585937, 'name': 'Valerie Germonprez', 'character': 'The Newlywed', 'role': 'ACTOR'}, {'person_id': 90209, 'name': 'Jack Perrin', 'character': 'The Newlywed', 'role': 'ACTOR'}, {'person_id': 173509, 'name': 'Richard Cummings', 'character': 'The Village Physician', 'role': 'ACTOR'}, {'person_id': 585933, 'name': 'Louis Fitzroy', 'character': 'The Village Priest', 'role': 'ACTOR'}, {'person_id': 585496, 'name': 'William De Vaull', 'character': ""Man from 'Home'"", 'role': 'ACTOR'}, {'person_id': 585934, 'name': 'Jack Mathis', 'character': ""Man from 'Home'"", 'role': 'ACTOR'}, {'person_id': 585935, 'name': 'Percy Challenger', 'character': ""Man from 'Home'"", 'role': 'ACTOR'}, {'person_id': 21170, 'name': 'Erich von Stroheim', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",13.0,Erich von Stroheim
9,tm100070,"[{'person_id': 49048, 'name': 'William Cagney', 'character': ""Lt. Tom 'Soapy' Cooper"", 'role': 'ACTOR'}, {'person_id': 155777, 'name': 'Edward Nugent', 'character': ""Lt. Richard 'Woody' Wood"", 'role': 'ACTOR'}, {'person_id': 127877, 'name': 'June Collyer', 'character': 'Evelyn Worthington', 'role': 'ACTOR'}, {'person_id': 60947, 'name': 'Edmund Breese', 'character': 'Col. Brooks', 'role': 'ACTOR'}, {'person_id': 152772, 'name': 'Lona Andre', 'character': 'Sophie', 'role': 'ACTOR'}, {'person_id': 45537, 'name': 'Frank McGlynn Sr.', 'character': 'Colonel Worthington', 'role': 'ACTOR'}, {'person_id': 572110, 'name': 'Pauline Garon', 'character': 'Hilda Garon', 'role': 'ACTOR'}, {'person_id': 27200, 'name': 'Matt McHugh', 'character': ""Matthew O'Toole"", 'role': 'ACTOR'}, {'person_id': 13310, 'name': 'Hattie McDaniel', 'character': 'Ida Johnson', 'role': 'ACTOR'}, {'person_id': 182649, 'name': 'Melville W. Brown', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",9.0,Melville W. Brown
